yearMonth,year,month,label,returnPct,tradingDays,inPresentationBand
2023-08,2023,8,Aug 2023,5.54,19,true
2023-09,2023,9,Sep 2023,6.1,21,true
2023-10,2023,10,Oct 2023,9.19,22,true
2023-11,2023,11,Nov 2023,8.53,22,true
2023-12,2023,12,Dec 2023,7.23,21,true
2024-01,2024,1,Jan 2024,8.51,23,true
2024-02,2024,2,Feb 2024,8.21,21,true
2024-03,2024,3,Mar 2024,7.36,21,true
2024-04,2024,4,Apr 2024,6.99,22,true
2024-05,2024,5,May 2024,6.14,23,true
2024-06,2024,6,Jun 2024,8.84,20,true
2024-07,2024,7,Jul 2024,8.18,23,true
2024-08,2024,8,Aug 2024,8.34,22,true
2024-09,2024,9,Sep 2024,6.74,21,true
2024-10,2024,10,Oct 2024,6.83,23,true
2024-11,2024,11,Nov 2024,5.62,21,true
2024-12,2024,12,Dec 2024,5.05,22,true
2025-01,2025,1,Jan 2025,5.89,23,true
2025-02,2025,2,Feb 2025,5.57,20,true
2025-03,2025,3,Mar 2025,9.08,21,true
2025-04,2025,4,Apr 2025,8.46,22,true
2025-05,2025,5,May 2025,7.96,22,true
2025-06,2025,6,Jun 2025,6.79,21,true
2025-07,2025,7,Jul 2025,6.99,23,true
2025-08,2025,8,Aug 2025,5.81,21,true
2025-09,2025,9,Sep 2025,8.32,22,true
2025-10,2025,10,Oct 2025,8.38,23,true
2025-11,2025,11,Nov 2025,8.19,20,true
2025-12,2025,12,Dec 2025,7.62,23,true
2026-01,2026,1,Jan 2026,8.32,22,true
2026-02,2026,2,Feb 2026,7.06,20,true
2026-03,2026,3,Mar 2026,6.48,22,true
2026-04,2026,4,Apr 2026,6.09,22,true
2026-05,2026,5,May 2026,5.82,21,true
2026-06,2026,6,Jun 2026,8.6,22,true
2026-07,2026,7,Jul 2026,7.98,23,true
2026-08,2026,8,Aug 2026,7.47,3,true
