id,reference,tradingDayId,tradeDate,pair,direction,strategy,risk,lotSize,entryPrice,exitPrice,returnPct,pips,outcome,status,openTime,closeTime,isPublic,datasetVersion
4bb2fda2-877a-43d5-baac-5f6e44d6d0b7,TRD-H000001,e88d924b-0d64-5776-fe3c-5eed87077fa7,2022-09-01,EUR/USD,SELL,Session Breakout,MEDIUM,0.7,1.00291,0.99533,0.156911,75.8,WIN,CLOSED,2022-09-01T09:32:00.000Z,2022-09-01T10:29:00.000Z,true,wealthora-historical-trades-v1
f2f2b644-6ad6-49a8-b062-2c62564604f3,TRD-H000002,e88d924b-0d64-5776-fe3c-5eed87077fa7,2022-09-01,GBP/USD,SELL,Volatility Spike,HIGH,1.35,1.1526,1.15909,-0.312249,64.9,LOSS,CLOSED,2022-09-01T10:03:00.000Z,2022-09-01T13:36:00.000Z,true,wealthora-historical-trades-v1
73c964a8-a42b-430e-b44c-7e9d868b0807,TRD-H000003,e271b4ee-37d3-f808-11f6-1db232e05c83,2022-09-02,USD/JPY,SELL,Volatility Spike,MEDIUM,0.2,140.676,140.098,0.193306,57.8,WIN,CLOSED,2022-09-02T14:20:00.000Z,2022-09-02T18:46:00.000Z,true,wealthora-historical-trades-v1
ea4ade68-bdec-4cda-bcc8-6a7b4f0507df,TRD-H000004,e271b4ee-37d3-f808-11f6-1db232e05c83,2022-09-02,USD/CHF,SELL,Session Breakout,LOW,2.16,0.98404,0.97939,0.187067,46.5,WIN,CLOSED,2022-09-02T07:15:00.000Z,2022-09-02T11:20:00.000Z,true,wealthora-historical-trades-v1
ed725f2e-8aa3-4582-b64e-7217e8827150,TRD-H000005,e271b4ee-37d3-f808-11f6-1db232e05c83,2022-09-02,AUD/USD,SELL,Session Breakout,HIGH,2.49,0.68371,0.67898,0.233088,47.3,WIN,CLOSED,2022-09-02T12:47:00.000Z,2022-09-02T13:56:00.000Z,true,wealthora-historical-trades-v1
f87e470e-ea16-471a-9ce7-e6826bdbbcad,TRD-H000006,e271b4ee-37d3-f808-11f6-1db232e05c83,2022-09-02,NZD/USD,BUY,Volatility Spike,LOW,0.24,0.60661,0.61289,0.226113,62.8,WIN,CLOSED,2022-09-02T10:00:00.000Z,2022-09-02T10:49:00.000Z,true,wealthora-historical-trades-v1
a4166a57-52ad-4030-8660-965b86123cdd,TRD-H000007,67232bd7-70d6-41f2-44d3-a0a56695e8b3,2022-09-05,USD/CAD,SELL,AI Momentum,HIGH,0.49,1.31652,1.31351,0.596785,30.1,WIN,CLOSED,2022-09-05T10:33:00.000Z,2022-09-05T15:34:00.000Z,true,wealthora-historical-trades-v1
13352e5b-f849-440c-a10d-5faebf133ec7,TRD-H000008,c0c323e0-e27e-822b-0d36-dff9ca644162,2022-09-06,EUR/JPY,SELL,Volatility Spike,LOW,1.48,139.856,141.434,-0.113058,157.8,LOSS,CLOSED,2022-09-06T09:18:00.000Z,2022-09-06T09:57:00.000Z,true,wealthora-historical-trades-v1
d7aa523c-6308-4b76-b976-3201e1b7c75a,TRD-H000009,c0c323e0-e27e-822b-0d36-dff9ca644162,2022-09-06,GBP/JPY,BUY,Volatility Spike,HIGH,1.81,162.704,164.429,0.070697,172.5,WIN,CLOSED,2022-09-06T07:43:00.000Z,2022-09-06T09:42:00.000Z,true,wealthora-historical-trades-v1
e0bddba7-bdb0-4a86-8233-3d2b7756af6f,TRD-H000010,c0c323e0-e27e-822b-0d36-dff9ca644162,2022-09-06,EUR/GBP,BUY,Carry Overlay,LOW,1.57,0.85777,0.8605,0.099698,27.3,WIN,CLOSED,2022-09-06T09:37:00.000Z,2022-09-06T14:15:00.000Z,true,wealthora-historical-trades-v1
f30a39d5-995e-4b98-a647-e9b5d34cc7ec,TRD-H000011,c0c323e0-e27e-822b-0d36-dff9ca644162,2022-09-06,AUD/JPY,BUY,AI Momentum,MEDIUM,1.97,96.314,95.664,-0.176531,65,LOSS,CLOSED,2022-09-06T14:31:00.000Z,2022-09-06T18:38:00.000Z,true,wealthora-historical-trades-v1
92918c66-a09a-4be5-b7ac-fdb1f7c7a3a5,TRD-H000012,c1617d37-6700-2830-08bd-d47d00efc967,2022-09-07,XAU/USD,SELL,Carry Overlay,HIGH,1.53,1727.36,1707.6,0.192953,197.6,WIN,CLOSED,2022-09-07T11:38:00.000Z,2022-09-07T15:37:00.000Z,true,wealthora-historical-trades-v1
92ba2eec-7229-452a-a04c-97645c69a919,TRD-H000013,c1617d37-6700-2830-08bd-d47d00efc967,2022-09-07,EUR/USD,SELL,AI Momentum,LOW,2.25,0.99374,0.98964,0.277582,41,WIN,CLOSED,2022-09-07T10:08:00.000Z,2022-09-07T11:49:00.000Z,true,wealthora-historical-trades-v1
88140110-29b5-4730-a559-360e34726f03,TRD-H000014,c1617d37-6700-2830-08bd-d47d00efc967,2022-09-07,GBP/USD,SELL,Carry Overlay,MEDIUM,1.68,1.15031,1.14369,0.417103,66.2,WIN,CLOSED,2022-09-07T09:36:00.000Z,2022-09-07T10:27:00.000Z,true,wealthora-historical-trades-v1
f4925d80-0761-4e3d-be09-1c3d659166a9,TRD-H000015,96d924b1-7369-716a-d0ea-d7cb610f3779,2022-09-08,USD/JPY,BUY,Mean Reversion,HIGH,0.22,143.478,144.236,1.127624,75.8,WIN,CLOSED,2022-09-08T14:40:00.000Z,2022-09-08T15:16:00.000Z,true,wealthora-historical-trades-v1
a20c98f2-2268-49dc-ad68-e398f10845a1,TRD-H000016,04dd2c4d-a652-c955-cb5f-d20719ecb8f6,2022-09-09,USD/CHF,BUY,Volatility Spike,MEDIUM,0.54,0.9587,0.96553,0.502373,68.3,WIN,CLOSED,2022-09-09T09:09:00.000Z,2022-09-09T12:51:00.000Z,true,wealthora-historical-trades-v1
8f4684ea-c866-4785-b8c1-5c3199560c64,TRD-H000017,04dd2c4d-a652-c955-cb5f-d20719ecb8f6,2022-09-09,AUD/USD,SELL,Session Breakout,MEDIUM,1.62,0.68455,0.67914,1.052435,54.1,WIN,CLOSED,2022-09-09T14:36:00.000Z,2022-09-09T19:17:00.000Z,true,wealthora-historical-trades-v1
ed7c35db-94a9-4b81-b321-1f91430a4c2d,TRD-H000018,bdc0ee2f-fc1b-6530-b83d-b70ea97b6bfc,2022-09-12,NZD/USD,SELL,Carry Overlay,LOW,2.4,0.61147,0.61498,-0.233175,35.1,LOSS,CLOSED,2022-09-12T12:20:00.000Z,2022-09-12T16:43:00.000Z,true,wealthora-historical-trades-v1
973c381a-b457-42fc-b52d-4708557530eb,TRD-H000019,bdc0ee2f-fc1b-6530-b83d-b70ea97b6bfc,2022-09-12,USD/CAD,SELL,Carry Overlay,HIGH,2.29,1.30158,1.29816,0.194616,34.2,WIN,CLOSED,2022-09-12T09:52:00.000Z,2022-09-12T12:53:00.000Z,true,wealthora-historical-trades-v1
130d286f-9b7e-49f8-ac18-26e3dc22bbf5,TRD-H000020,bdc0ee2f-fc1b-6530-b83d-b70ea97b6bfc,2022-09-12,EUR/JPY,SELL,Session Breakout,MEDIUM,1.72,145.333,143.906,0.773921,142.7,WIN,CLOSED,2022-09-12T08:35:00.000Z,2022-09-12T09:37:00.000Z,true,wealthora-historical-trades-v1
ac8bed71-72ff-4810-98f6-b007c5ef0438,TRD-H000021,1f54a83d-f5cd-5803-909c-3666d74cc739,2022-09-13,GBP/JPY,BUY,Mean Reversion,HIGH,0.13,167.004,166.372,-0.087761,63.2,LOSS,CLOSED,2022-09-13T08:52:00.000Z,2022-09-13T09:20:00.000Z,true,wealthora-historical-trades-v1
e7867211-cb5b-437b-a433-93a3c249b3ca,TRD-H000022,1f54a83d-f5cd-5803-909c-3666d74cc739,2022-09-13,EUR/GBP,SELL,Volatility Spike,MEDIUM,0.46,0.86523,0.86776,-0.052621,25.3,LOSS,CLOSED,2022-09-13T09:43:00.000Z,2022-09-13T14:06:00.000Z,true,wealthora-historical-trades-v1
146386fd-0d82-47d3-986a-6c0cedcbe4bb,TRD-H000023,81cc62c5-1e0f-c73e-7318-5df72d9e6621,2022-09-14,AUD/JPY,SELL,Session Breakout,HIGH,1.04,97.333,96.177,0.426515,115.6,WIN,CLOSED,2022-09-14T09:41:00.000Z,2022-09-14T10:27:00.000Z,true,wealthora-historical-trades-v1
e3379f42-3ada-4895-a964-42b6c770c459,TRD-H000024,81cc62c5-1e0f-c73e-7318-5df72d9e6621,2022-09-14,XAU/USD,SELL,Session Breakout,LOW,0.7,1715.48,1707.22,0.798938,82.6,WIN,CLOSED,2022-09-14T12:57:00.000Z,2022-09-14T14:56:00.000Z,true,wealthora-historical-trades-v1
