date,equity,returnPct
2023-08-06,100,0
2023-08-07,100.3809,0.380915
2023-08-08,100.8868,0.504006
2023-08-09,100.8306,-0.055744
2023-08-10,100.5611,-0.267292
2023-08-11,100.91,0.346917
2023-08-14,100.961,0.050618
2023-08-15,100.9802,0.018936
2023-08-16,101.5614,0.575629
2023-08-17,101.4693,-0.090717
2023-08-18,101.8775,0.402253
2023-08-21,102.3059,0.420549
2023-08-22,102.5095,0.199007
2023-08-23,102.8947,0.375743
2023-08-24,103.4472,0.536989
2023-08-25,103.9357,0.472203
2023-08-28,104.3682,0.416108
2023-08-29,104.8475,0.459267
2023-08-30,104.9843,0.130451
2023-08-31,105.54,0.52935
2023-09-01,105.7709,0.218763
2023-09-04,106.0411,0.255507
2023-09-05,106.326,0.268656
2023-09-06,106.2606,-0.061522
2023-09-07,106.7455,0.456279
2023-09-08,106.9224,0.165797
2023-09-11,107.1943,0.25425
2023-09-12,107.3444,0.140068
2023-09-13,107.7438,0.372006
2023-09-14,108.0575,0.291202
2023-09-15,108.49,0.400199
2023-09-18,108.3161,-0.160244
2023-09-19,108.841,0.484608
2023-09-20,109.3038,0.425165
2023-09-21,109.7797,0.435407
2023-09-22,109.8975,0.107333
2023-09-25,110.3697,0.429624
2023-09-26,110.7758,0.367973
2023-09-27,111.1979,0.381006
2023-09-28,111.574,0.338275
2023-09-29,111.9779,0.362033
2023-10-02,113.0573,0.963856
2023-10-03,113.7659,0.626837
2023-10-04,114.6089,0.740987
2023-10-05,115.7076,0.958594
2023-10-06,116.3875,0.587627
2023-10-09,116.7747,0.332672
2023-10-10,117.2163,0.37815
2023-10-11,117.7635,0.466844
2023-10-12,118.4166,0.554627
2023-10-13,118.142,-0.231915
2023-10-16,119.0697,0.785271
2023-10-17,120.1766,0.929557
2023-10-18,120.2319,0.04609
2023-10-19,120.6815,0.373923
2023-10-20,120.592,-0.074147
2023-10-23,121.5779,0.817481
2023-10-24,122.4768,0.739408
2023-10-25,122.8802,0.329369
2023-10-26,122.418,-0.376122
2023-10-27,121.8657,-0.451158
2023-10-30,121.9485,0.067934
2023-10-31,122.2687,0.262565
2023-11-01,123.22,0.778036
2023-11-02,124.1442,0.750057
2023-11-03,125.0882,0.760351
2023-11-06,125.9635,0.699771
2023-11-07,126.2509,0.228206
2023-11-08,126.5355,0.225376
2023-11-09,126.019,-0.408155
2023-11-10,125.5344,-0.384604
2023-11-13,126.5995,0.848472
2023-11-14,126.8376,0.188127
2023-11-15,127.8598,0.805846
2023-11-16,127.3762,-0.378177
2023-11-17,127.6602,0.222949
2023-11-20,128.765,0.865379
2023-11-21,129.3892,0.484827
2023-11-22,130.1189,0.563917
2023-11-23,129.5548,-0.43355
2023-11-24,129.7991,0.188606
2023-11-27,130.8446,0.805448
2023-11-28,131.6689,0.630038
2023-11-29,132.2798,0.463959
2023-11-30,132.6982,0.316304
2023-12-01,133.2649,0.427018
2023-12-04,133.3274,0.046946
2023-12-05,134.0492,0.541326
2023-12-06,134.1562,0.079809
2023-12-07,134.6705,0.383379
2023-12-08,135.3268,0.48735
2023-12-11,135.7342,0.301066
2023-12-12,136.5886,0.629405
2023-12-13,137.8151,0.898013
2023-12-14,138.7841,0.703108
2023-12-15,139.3129,0.381028
2023-12-18,139.9473,0.455363
2023-12-19,140.6343,0.490858
2023-12-20,141.0934,0.326456
2023-12-21,141.1912,0.069351
2023-12-22,141.0789,-0.079533
2023-12-25,141.9198,0.596051
2023-12-26,141.2019,-0.505895
2023-12-27,141.5977,0.28034
2023-12-28,142.8641,0.894355
2023-12-29,142.2923,-0.400215
2024-01-01,142.9176,0.439418
2024-01-02,143.7536,0.584965
2024-01-03,144.8737,0.779207
2024-01-04,145.4429,0.392861
2024-01-05,146.0881,0.443591
2024-01-08,146.785,0.47706
2024-01-09,146.9922,0.141156
2024-01-10,147.4728,0.326984
2024-01-11,147.0112,-0.313038
2024-01-12,147.9495,0.638299
2024-01-15,149.2523,0.880555
2024-01-16,150.8314,1.058022
2024-01-17,150.3799,-0.299354
2024-01-18,151.9418,1.038618
2024-01-19,152.1751,0.153557
2024-01-22,151.3882,-0.517139
2024-01-23,151.5162,0.084554
2024-01-24,152.8847,0.903242
2024-01-25,152.6604,-0.14672
2024-01-26,154.3569,1.111252
2024-01-29,155.7598,0.908917
2024-01-30,154.7883,-0.623727
2024-01-31,154.4014,-0.249964
2024-02-01,155.3072,0.586676
2024-02-02,156.1792,0.561416
2024-02-05,157.4039,0.784212
2024-02-06,156.7571,-0.410957
2024-02-07,157.666,0.579852
2024-02-08,158.5941,0.588633
2024-02-09,159.4229,0.52257
2024-02-12,160.1477,0.454676
2024-02-13,161.2873,0.711586
2024-02-14,162.4768,0.737511
2024-02-15,163.3122,0.514136
2024-02-16,163.8443,0.325807
2024-02-19,164.5655,0.440218
2024-02-20,164.9225,0.216896
2024-02-21,165.2023,0.169701
2024-02-22,164.8268,-0.227299
2024-02-23,165.6287,0.486474
2024-02-26,164.9379,-0.417092
2024-02-27,165.7678,0.503193
2024-02-28,166.1084,0.205469
2024-02-29,167.0778,0.583561
2024-03-01,167.9704,0.53429
2024-03-04,168.4973,0.31367
2024-03-05,168.6116,0.06782
2024-03-06,168.4136,-0.117416
2024-03-07,169.2831,0.516259
2024-03-08,168.7928,-0.289617
2024-03-11,169.8333,0.616446
2024-03-12,170.6034,0.453418
2024-03-13,171.5508,0.555376
2024-03-14,172.6608,0.647039
2024-03-15,173.6158,0.553087
2024-03-18,173.3897,-0.130224
2024-03-19,173.0488,-0.196598
2024-03-20,174.2021,0.66642
2024-03-21,175.2863,0.622394
2024-03-22,176.2225,0.534117
2024-03-25,177.0613,0.475976
2024-03-26,177.6105,0.310179
