yearMonth,year,month,label,returnPct,tradingDays,growthOf100,inPresentationBand
2022-09,2022,9,Sep 2022,14.02,22,114.02,true
2022-10,2022,10,Oct 2022,15.35,21,129.37,true
2022-11,2022,11,Nov 2022,14.52,22,143.89,true
2022-12,2022,12,Dec 2022,16.5,22,160.39,true
2023-01,2023,1,Jan 2023,14.43,22,174.82,true
2023-02,2023,2,Feb 2023,14.01,20,188.83,true
2023-03,2023,3,Mar 2023,15.3,23,204.13,true
2023-04,2023,4,Apr 2023,15.4,20,219.53,true
2023-05,2023,5,May 2023,16.64,23,236.17,true
2023-06,2023,6,Jun 2023,15.11,22,251.28,true
2023-07,2023,7,Jul 2023,15.65,21,266.93,true
2023-08,2023,8,Aug 2023,16.67,23,283.6,true
2023-09,2023,9,Sep 2023,15.21,21,298.81,true
2023-10,2023,10,Oct 2023,14.16,22,312.97,true
2023-11,2023,11,Nov 2023,14.38,22,327.35,true
2023-12,2023,12,Dec 2023,15.92,21,343.27,true
2024-01,2024,1,Jan 2024,16.48,23,359.75,true
2024-02,2024,2,Feb 2024,16.28,21,376.03,true
2024-03,2024,3,Mar 2024,16.48,21,392.51,true
2024-04,2024,4,Apr 2024,13.31,22,405.82,true
2024-05,2024,5,May 2024,14.85,23,420.67,true
2024-06,2024,6,Jun 2024,16.49,20,437.16,true
2024-07,2024,7,Jul 2024,16.57,23,453.73,true
2024-08,2024,8,Aug 2024,13.47,22,467.2,true
2024-09,2024,9,Sep 2024,16.01,21,483.21,true
2024-10,2024,10,Oct 2024,13.8,23,497.01,true
2024-11,2024,11,Nov 2024,15.85,21,512.86,true
2024-12,2024,12,Dec 2024,15.41,22,528.27,true
2025-01,2025,1,Jan 2025,15.09,23,543.36,true
2025-02,2025,2,Feb 2025,14.04,20,557.4,true
2025-03,2025,3,Mar 2025,13.44,21,570.84,true
2025-04,2025,4,Apr 2025,15.83,22,586.67,true
2025-05,2025,5,May 2025,15.68,22,602.35,true
2025-06,2025,6,Jun 2025,16.19,21,618.54,true
2025-07,2025,7,Jul 2025,15.26,23,633.8,true
2025-08,2025,8,Aug 2025,17,21,650.8,true
2025-09,2025,9,Sep 2025,14.75,22,665.55,true
2025-10,2025,10,Oct 2025,16.05,23,681.6,true
2025-11,2025,11,Nov 2025,16.57,20,698.17,true
2025-12,2025,12,Dec 2025,14.98,23,713.15,true
2026-01,2026,1,Jan 2026,15.91,22,729.06,true
2026-02,2026,2,Feb 2026,14.98,20,744.04,true
2026-03,2026,3,Mar 2026,13.77,22,757.81,true
2026-04,2026,4,Apr 2026,16.06,22,773.87,true
2026-05,2026,5,May 2026,16.64,21,790.51,true
2026-06,2026,6,Jun 2026,14.83,22,805.34,true
2026-07,2026,7,Jul 2026,13.35,23,818.69,true
2026-08,2026,8,Aug 2026,15.71,3,834.4,true
